10;11;12;20;21;22;30;31;32;40;41;42;50;51;52;60;61;62
487;351;416;488;353;420;553;345;408;536;672;607;535;670;603;537;667;600
487;351;416;336;207;321;553;349;408;536;672;607;687;816;702;537;669;599
487;351;416;327;323;356;553;349;408;536;672;607;696;700;667;537;669;599
487;351;416;327;323;356;553;349;408;536;672;607;696;700;667;537;669;599
463;393;658;327;323;356;553;349;408;560;630;365;696;700;667;537;669;599
361;395;658;327;323;356;553;349;408;662;628;365;696;700;667;537;669;599
463;393;658;327;323;356;553;349;408;560;630;365;696;700;667;537;669;599
486;245;365;327;323;356;553;349;408;537;778;658;696;700;667;537;669;599
487;351;416;327;323;356;553;349;408;536;672;607;696;700;667;537;669;599
487;351;416;418;222;418;553;349;408;536;672;607;605;801;605;537;669;599
487;351;416;488;353;420;553;345;408;536;672;607;535;670;603;537;667;600
